CustomerID,Gender,Age,Partner,Dependents,TenureYears,ContractType,PaymentMethod,InternetService,MonthlyCharges,TotalCharges,TechSupport,PaperlessBilling,Churn
CUST00040,Male,24,Yes,No,4.1,Two Year,Credit Card,Fiber Optic,95.53,4485.5,No,Yes,No
CUST00041,Male,47,Yes,No,2.4,Month-to-Month,Mailed Check,Fiber Optic,86.56,2809.01,Yes,No,No
CUST00042,Male,24,Yes,No,6.4,Month-to-Month,Mailed Check,DSL,65.68,5288.74,No,Yes,No
CUST00043,Female,20,No,No,1.1,Two Year,Credit Card,DSL,50.16,678.43,Yes,Yes,Yes
CUST00044,Female,18,No,Yes,3.5,One Year,Electronic Check,Fiber Optic,83.01,3406.11,No,Yes,No
CUST00045,Female,53,No,No,4.2,One Year,Electronic Check,DSL,56.72,2975.73,No,No,No
CUST00046,Female,42,No,No,0.5,Month-to-Month,Electronic Check,Fiber Optic,83.44,237.04,No,Yes,Yes
CUST00047,Female,54,Yes,No,1.5,Two Year,Electronic Check,Fiber Optic,73.85,1508.17,No,Yes,Yes
CUST00048,Male,18,No,No,2.0,Month-to-Month,Mailed Check,Fiber Optic,89.53,2510.65,Yes,No,Yes
CUST00049,Female,32,Yes,No,1.3,Month-to-Month,Electronic Check,No,22.12,370.68,Yes,No,No
CUST00050,Female,54,Yes,Yes,1.2,Month-to-Month,Bank Transfer,Fiber Optic,84.92,1025.32,No,Yes,Yes
CUST00051,Male,30,No,Yes,3.5,Month-to-Month,Bank Transfer,Fiber Optic,67.96,3061.37,No,Yes,No
CUST00052,Female,57,Yes,Yes,0.7,Month-to-Month,Electronic Check,Fiber Optic,79.81,720.34,No,No,Yes
CUST00053,Male,25,Yes,Yes,3.7,One Year,Bank Transfer,No,28.99,1279.02,Yes,Yes,Yes
CUST00054,Female,22,No,No,8.2,Month-to-Month,Bank Transfer,DSL,59.49,5738.57,Yes,No,No
CUST00055,Male,26,No,Yes,2.5,One Year,Credit Card,No,20.12,557.64,No,No,No
CUST00056,Female,18,Yes,Yes,2.8,Month-to-Month,Credit Card,No,22.87,821.21,No,Yes,No
CUST00057,Female,53,No,No,0.2,Month-to-Month,Electronic Check,Fiber Optic,99.11,222.77,Yes,Yes,Yes
CUST00058,Male,52,No,No,6.0,Month-to-Month,Mailed Check,DSL,70.72,5079.71,No,Yes,No
CUST00059,Male,19,No,Yes,1.0,Two Year,Mailed Check,No,34.12,418.01,Yes,No,No
CUST00060,Male,57,Yes,No,2.9,Two Year,Credit Card,Fiber Optic,95.24,2942.37,No,Yes,No
CUST00061,Male,40,No,No,11.6,Two Year,Credit Card,Fiber Optic,81.84,11388.63,Yes,Yes,No
CUST00062,Male,26,No,Yes,2.7,One Year,Mailed Check,Fiber Optic,90.23,2922.17,No,Yes,No
CUST00063,Male,51,No,Yes,3.9,One Year,Electronic Check,DSL,59.82,2978.68,Yes,Yes,No
CUST00064,Male,63,No,No,1.8,One Year,Mailed Check,DSL,47.47,1103.86,No,Yes,No
CUST00065,Male,31,Yes,No,0.2,One Year,Mailed Check,Fiber Optic,86.57,0.0,No,Yes,No
CUST00066,Female,21,Yes,No,4.8,Month-to-Month,Bank Transfer,Fiber Optic,82.64,4694.88,Yes,No,No
CUST00067,Female,47,Yes,Yes,0.1,Month-to-Month,Mailed Check,No,32.94,108.47,No,Yes,Yes
CUST00068,Male,48,Yes,No,3.6,Month-to-Month,Credit Card,Fiber Optic,80.72,3276.77,Yes,Yes,Yes
CUST00069,Female,55,No,No,0.1,Month-to-Month,Electronic Check,No,18.36,84.31,Yes,No,No
CUST00070,Female,28,Yes,Yes,5.9,Month-to-Month,Mailed Check,DSL,55.14,3899.3,No,No,No
CUST00071,Female,52,No,No,0.5,Month-to-Month,Bank Transfer,Fiber Optic,91.64,648.15,No,No,No
CUST00072,Female,25,No,No,2.2,Month-to-Month,Credit Card,DSL,61.65,1572.97,No,Yes,Yes
CUST00073,Male,20,Yes,No,2.7,Month-to-Month,Credit Card,Fiber Optic,70.79,2229.1,No,Yes,No
CUST00074,Female,31,Yes,No,1.8,Two Year,Bank Transfer,No,31.46,621.52,No,No,No
CUST00075,Male,30,No,No,1.3,Month-to-Month,Credit Card,DSL,60.51,1129.91,No,No,Yes
CUST00076,Female,62,No,No,1.9,Month-to-Month,Bank Transfer,No,31.1,745.8,No,No,No
CUST00077,Female,49,Yes,No,1.1,Two Year,Credit Card,DSL,61.92,697.63,Yes,No,Yes
CUST00078,Female,51,Yes,Yes,1.7,Month-to-Month,Credit Card,DSL,43.72,953.48,No,Yes,Yes
CUST00079,Male,62,No,No,1.3,Month-to-Month,Credit Card,DSL,45.84,801.33,No,No,Yes
CUST00080,Female,36,No,Yes,2.5,Month-to-Month,Credit Card,Fiber Optic,89.71,2885.49,No,No,Yes
CUST00081,Male,55,Yes,Yes,0.8,Month-to-Month,Bank Transfer,DSL,52.21,530.64,Yes,Yes,No
CUST00082,Female,33,No,No,13.4,Month-to-Month,Mailed Check,Fiber Optic,94.38,15209.2,No,Yes,No
CUST00083,Male,19,Yes,No,2.1,Month-to-Month,Credit Card,Fiber Optic,87.45,2040.93,Yes,Yes,No
CUST00084,Female,57,Yes,No,0.6,Month-to-Month,Bank Transfer,DSL,47.84,471.83,Yes,Yes,No
CUST00085,Male,34,Yes,No,1.9,Two Year,Bank Transfer,Fiber Optic,77.43,1868.74,No,Yes,No
CUST00086,Male,72,Yes,Yes,6.0,One Year,Bank Transfer,Fiber Optic,69.99,5177.4,No,No,No
CUST00087,Female,51,Yes,No,0.1,One Year,Mailed Check,No,35.5,0.0,No,No,No
CUST00088,Male,59,No,No,3.4,Month-to-Month,Electronic Check,DSL,54.07,2309.34,Yes,No,No
CUST00089,Female,33,Yes,No,2.4,Month-to-Month,Bank Transfer,DSL,62.33,1798.25,No,Yes,Yes
CUST00090,Female,55,Yes,No,0.6,Two Year,Bank Transfer,Fiber Optic,87.06,770.96,Yes,Yes,Yes
CUST00091,Female,19,Yes,No,5.1,Month-to-Month,Bank Transfer,Fiber Optic,85.92,5052.22,No,No,Yes
CUST00092,Female,19,No,No,1.4,Two Year,Mailed Check,Fiber Optic,91.52,1869.48,No,Yes,No
CUST00093,Female,43,Yes,No,1.0,Month-to-Month,Credit Card,No,29.22,312.5,No,Yes,No
CUST00094,Female,30,Yes,Yes,5.3,Two Year,Mailed Check,No,27.34,1801.88,No,No,No
CUST00095,Female,73,No,No,3.1,Month-to-Month,Bank Transfer,DSL,55.0,2023.45,No,Yes,No
CUST00096,Female,64,No,No,6.9,Month-to-Month,Electronic Check,Fiber Optic,91.73,7935.04,Yes,Yes,No
CUST00097,Female,48,Yes,No,3.0,One Year,Bank Transfer,Fiber Optic,77.47,2834.88,No,Yes,No
CUST00098,Female,51,No,No,4.1,One Year,Credit Card,No,37.4,1980.94,No,No,No
CUST00099,Female,56,No,No,5.4,Month-to-Month,Electronic Check,DSL,55.51,3589.07,Yes,Yes,No
CUST00100,Male,20,No,No,0.2,Two Year,Electronic Check,Fiber Optic,81.93,14.28,No,Yes,Yes
CUST00101,Male,25,Yes,No,4.5,Month-to-Month,Mailed Check,No,31.47,1717.8,Yes,No,No
CUST00102,Female,40,No,No,2.9,Month-to-Month,Mailed Check,Fiber Optic,94.41,3260.35,No,Yes,No
CUST00103,Female,31,Yes,No,0.2,One Year,Credit Card,Fiber Optic,94.35,112.45,No,Yes,Yes
CUST00104,Female,73,No,No,2.1,One Year,Mailed Check,No,33.14,917.43,No,No,No
CUST00105,Female,72,No,No,0.3,Two Year,Credit Card,No,35.01,31.29,No,Yes,Yes
CUST00106,Female,44,Yes,Yes,4.0,Month-to-Month,Electronic Check,DSL,55.35,2868.2,No,Yes,No
CUST00107,Female,71,No,No,2.4,Month-to-Month,Electronic Check,DSL,50.32,1430.64,Yes,No,No
CUST00108,Female,46,Yes,Yes,9.2,One Year,Electronic Check,Fiber Optic,88.56,9535.69,No,Yes,No
CUST00109,Female,56,No,No,0.6,Month-to-Month,Credit Card,No,26.41,210.74,Yes,No,No
CUST00110,Male,70,Yes,No,2.8,Month-to-Month,Mailed Check,No,21.79,740.04,No,Yes,No
CUST00111,Female,56,Yes,No,0.7,Month-to-Month,Mailed Check,Fiber Optic,81.62,660.51,Yes,Yes,Yes
CUST00112,Male,18,Yes,No,2.9,Month-to-Month,Mailed Check,Fiber Optic,71.86,2410.32,Yes,Yes,No
CUST00113,Female,34,No,No,3.8,Month-to-Month,Bank Transfer,DSL,45.09,2174.7,No,Yes,No
CUST00114,Female,58,Yes,Yes,3.8,Month-to-Month,Electronic Check,Fiber Optic,101.23,4725.43,No,Yes,Yes
CUST00115,Male,47,Yes,No,5.1,One Year,Electronic Check,Fiber Optic,94.01,5661.96,No,Yes,No
CUST00116,Female,70,Yes,No,5.8,One Year,Bank Transfer,Fiber Optic,83.08,5848.46,Yes,Yes,No
CUST00117,Male,30,No,No,0.2,Month-to-Month,Electronic Check,Fiber Optic,89.18,74.91,Yes,No,Yes
CUST00118,Female,38,No,No,1.3,Month-to-Month,Electronic Check,Fiber Optic,77.4,1358.84,Yes,Yes,Yes
CUST00119,Female,36,Yes,No,3.5,Month-to-Month,Bank Transfer,No,35.29,1630.29,No,Yes,No
CUST00120,Male,70,Yes,No,2.1,Month-to-Month,Electronic Check,DSL,57.09,1565.07,No,No,Yes
CUST00121,Female,36,Yes,No,0.6,One Year,Mailed Check,Fiber Optic,79.36,466.55,No,Yes,Yes
CUST00122,Male,74,Yes,No,2.4,Two Year,Bank Transfer,Fiber Optic,82.41,2214.91,No,No,No
CUST00123,Female,42,Yes,Yes,1.6,One Year,Electronic Check,Fiber Optic,81.86,1587.87,No,No,Yes
CUST00124,Male,39,No,No,1.5,One Year,Mailed Check,Fiber Optic,91.8,1356.91,No,No,Yes
CUST00125,Male,48,Yes,No,5.0,Month-to-Month,Credit Card,DSL,54.35,3360.39,Yes,Yes,No
CUST00126,Female,34,Yes,Yes,1.6,Month-to-Month,Electronic Check,DSL,42.37,870.02,No,No,Yes
CUST00127,Female,72,Yes,Yes,0.1,Two Year,Bank Transfer,DSL,51.41,45.92,No,No,Yes
CUST00128,Male,40,No,No,0.2,Two Year,Mailed Check,DSL,48.74,88.7,Yes,No,No
CUST00129,Female,49,No,No,5.8,Month-to-Month,Credit Card,Fiber Optic,73.18,5076.89,No,No,No
CUST00130,Female,27,No,Yes,9.7,Month-to-Month,Credit Card,DSL,48.91,5845.96,No,No,Yes
CUST00131,Female,27,Yes,No,3.5,One Year,Electronic Check,Fiber Optic,67.73,2789.8,Yes,No,Yes
CUST00132,Male,53,Yes,No,1.4,Month-to-Month,Credit Card,DSL,47.55,685.16,No,Yes,Yes
CUST00133,Male,25,Yes,Yes,8.4,One Year,Bank Transfer,Fiber Optic,86.57,8590.78,No,No,No
CUST00134,Male,71,Yes,Yes,3.3,Two Year,Credit Card,Fiber Optic,88.63,3685.12,Yes,Yes,No
CUST00135,Male,69,No,No,5.6,Month-to-Month,Electronic Check,DSL,59.03,3853.23,No,Yes,Yes
CUST00136,Male,37,No,Yes,4.4,Two Year,Credit Card,Fiber Optic,92.66,5114.51,No,No,No
CUST00137,Male,49,No,No,1.4,Two Year,Electronic Check,No,39.5,647.69,Yes,No,No
CUST00138,Male,67,No,No,2.0,Two Year,Credit Card,DSL,46.8,955.4,Yes,No,No
CUST00139,Male,31,Yes,No,0.6,Month-to-Month,Mailed Check,Fiber Optic,73.99,643.49,No,No,Yes
CUST00140,Male,67,No,Yes,1.0,Month-to-Month,Electronic Check,DSL,55.34,634.05,No,No,Yes
CUST00141,Female,45,Yes,Yes,4.5,One Year,Bank Transfer,DSL,59.37,3250.25,No,Yes,No
CUST00142,Male,63,Yes,Yes,6.7,Month-to-Month,Bank Transfer,Fiber Optic,78.32,6199.1,Yes,Yes,No
CUST00143,Female,69,No,Yes,3.9,Month-to-Month,Credit Card,DSL,57.12,2813.7,Yes,Yes,No
CUST00144,Female,70,Yes,No,1.9,Month-to-Month,Mailed Check,No,44.58,1056.17,Yes,Yes,No
CUST00145,Female,41,Yes,Yes,0.3,One Year,Credit Card,DSL,44.31,351.5,No,No,Yes
CUST00146,Male,32,Yes,No,0.2,Month-to-Month,Credit Card,DSL,55.05,210.34,No,No,No
CUST00147,Male,39,No,No,1.4,Month-to-Month,Mailed Check,Fiber Optic,93.31,1524.17,No,Yes,Yes
CUST00148,Male,47,No,Yes,1.9,Month-to-Month,Electronic Check,Fiber Optic,83.42,1757.7,No,Yes,Yes
CUST00149,Male,21,Yes,Yes,2.8,One Year,Bank Transfer,Fiber Optic,88.3,2716.68,No,Yes,Yes
CUST00150,Female,30,No,Yes,0.0,One Year,Mailed Check,DSL,62.28,0.0,No,Yes,No
CUST00151,Male,40,Yes,Yes,13.7,Month-to-Month,Credit Card,No,27.59,4530.25,Yes,Yes,No
CUST00152,Male,25,Yes,No,1.4,Two Year,Electronic Check,No,21.51,429.83,Yes,Yes,No
CUST00153,Male,35,No,No,5.7,Month-to-Month,Credit Card,Fiber Optic,84.19,5689.57,Yes,Yes,Yes
CUST00154,Male,29,No,No,2.3,One Year,Electronic Check,Fiber Optic,76.24,2259.02,Yes,No,Yes
CUST00155,Male,72,No,No,0.4,One Year,Bank Transfer,Fiber Optic,80.6,369.66,No,Yes,Yes
CUST00156,Female,48,Yes,No,4.8,One Year,Bank Transfer,DSL,58.54,3593.13,Yes,No,No
CUST00157,Male,31,No,No,3.7,Month-to-Month,Electronic Check,DSL,56.45,2329.54,No,No,Yes
CUST00158,Female,51,No,No,2.2,Two Year,Bank Transfer,DSL,62.98,1833.05,Yes,Yes,No
CUST00159,Male,35,No,Yes,2.2,Two Year,Credit Card,No,31.86,809.21,Yes,No,No
CUST00160,Female,73,Yes,Yes,0.3,One Year,Electronic Check,DSL,48.76,262.49,Yes,No,No
CUST00161,Male,51,No,No,3.2,Month-to-Month,Credit Card,Fiber Optic,77.03,3199.95,Yes,Yes,No
CUST00162,Male,28,No,No,7.3,Month-to-Month,Electronic Check,DSL,60.02,5215.8,No,Yes,No
CUST00163,Female,58,Yes,No,0.3,One Year,Credit Card,Fiber Optic,86.92,122.34,No,No,Yes
CUST00164,Female,29,Yes,No,0.9,Month-to-Month,Bank Transfer,DSL,53.46,449.83,No,Yes,Yes
CUST00165,Female,66,Yes,No,7.0,One Year,Mailed Check,Fiber Optic,87.71,7217.88,No,Yes,No
CUST00166,Male,32,No,No,1.0,Month-to-Month,Credit Card,DSL,49.37,352.56,Yes,Yes,No
CUST00167,Female,74,No,No,3.2,One Year,Electronic Check,No,15.0,569.17,No,Yes,No
CUST00168,Male,48,No,No,2.3,Month-to-Month,Bank Transfer,No,38.34,1108.07,Yes,No,No
CUST00169,Male,66,No,No,2.7,Month-to-Month,Electronic Check,Fiber Optic,90.19,2966.57,No,No,Yes
CUST00170,Female,46,No,No,1.6,Month-to-Month,Credit Card,DSL,54.3,1001.58,No,No,Yes
CUST00171,Female,43,Yes,No,1.1,Month-to-Month,Electronic Check,DSL,47.81,546.3,Yes,Yes,No
CUST00172,Male,35,Yes,No,0.1,Month-to-Month,Electronic Check,No,28.29,1.64,No,No,No
CUST00173,Male,49,No,No,4.1,One Year,Credit Card,DSL,41.16,2048.56,No,No,No
CUST00174,Female,39,Yes,No,4.1,One Year,Bank Transfer,DSL,55.92,2843.36,Yes,No,No
CUST00175,Female,55,Yes,No,3.3,One Year,Bank Transfer,Fiber Optic,69.51,2544.82,Yes,Yes,No
CUST00176,Female,34,No,No,3.1,One Year,Credit Card,DSL,55.85,2095.31,Yes,Yes,No
CUST00177,Male,40,Yes,Yes,0.8,Month-to-Month,Bank Transfer,DSL,49.36,499.99,No,No,No
CUST00178,Male,41,Yes,No,0.1,Month-to-Month,Mailed Check,Fiber Optic,83.82,0.0,Yes,Yes,Yes
CUST00179,Male,67,Yes,Yes,5.0,Month-to-Month,Electronic Check,Fiber Optic,75.89,4636.2,No,No,No
CUST00180,Male,25,Yes,No,2.0,One Year,Credit Card,DSL,67.07,1734.78,No,No,Yes
CUST00181,Male,58,No,No,1.1,Month-to-Month,Mailed Check,Fiber Optic,87.88,1059.87,No,Yes,No
CUST00182,Male,23,No,No,0.3,Month-to-Month,Electronic Check,Fiber Optic,79.49,148.4,Yes,No,Yes
CUST00183,Female,22,No,Yes,0.2,One Year,Credit Card,Fiber Optic,83.56,560.8,No,Yes,No
CUST00184,Male,61,Yes,No,1.3,Two Year,Bank Transfer,DSL,67.85,1167.06,Yes,No,No
CUST00185,Male,74,No,No,4.9,One Year,Credit Card,Fiber Optic,77.4,4579.06,No,No,Yes
CUST00186,Male,46,No,No,7.5,One Year,Credit Card,Fiber Optic,76.1,6746.52,No,No,No
CUST00187,Female,45,No,Yes,6.8,One Year,Electronic Check,Fiber Optic,75.76,6064.86,No,No,No
CUST00188,Male,28,Yes,No,7.6,Month-to-Month,Electronic Check,DSL,49.55,4575.73,No,Yes,No
CUST00189,Male,74,No,No,7.1,One Year,Electronic Check,DSL,66.96,5594.88,No,No,No
CUST00190,Female,18,No,Yes,2.2,Two Year,Mailed Check,No,25.52,629.56,Yes,No,No
CUST00191,Male,60,No,No,0.7,Month-to-Month,Bank Transfer,DSL,51.66,420.03,No,Yes,No
CUST00192,Male,36,No,No,4.8,Month-to-Month,Credit Card,Fiber Optic,86.61,5099.49,Yes,Yes,Yes
CUST00193,Male,26,Yes,No,0.7,Month-to-Month,Credit Card,No,29.75,354.87,No,No,No
CUST00194,Male,44,No,No,0.9,Month-to-Month,Bank Transfer,Fiber Optic,92.76,1046.36,Yes,Yes,No
CUST00195,Male,51,Yes,No,0.8,Two Year,Credit Card,Fiber Optic,91.57,728.61,No,No,Yes
CUST00196,Female,61,No,No,2.2,Month-to-Month,Electronic Check,DSL,57.62,1490.27,No,Yes,Yes
CUST00197,Female,21,Yes,No,1.2,Month-to-Month,Credit Card,No,28.16,478.98,No,Yes,No
CUST00198,Female,53,Yes,Yes,0.5,Two Year,Bank Transfer,Fiber Optic,92.68,779.08,No,Yes,Yes
CUST00199,Male,35,Yes,Yes,1.8,Month-to-Month,Mailed Check,Fiber Optic,78.7,1896.27,No,No,Yes
CUST00200,Male,32,No,No,6.2,Month-to-Month,Mailed Check,Fiber Optic,78.19,5975.86,No,No,No
CUST00201,Male,68,Yes,No,2.5,Two Year,Bank Transfer,No,26.74,904.45,Yes,Yes,Yes
CUST00202,Female,30,No,No,6.3,Month-to-Month,Credit Card,Fiber Optic,94.29,7167.74,No,No,No
CUST00203,Male,36,No,No,0.7,One Year,Credit Card,DSL,48.3,478.38,No,No,Yes
CUST00204,Male,66,Yes,No,0.5,Month-to-Month,Mailed Check,Fiber Optic,80.2,351.81,No,No,Yes
CUST00205,Female,23,Yes,No,2.6,Month-to-Month,Credit Card,Fiber Optic,86.39,2735.68,Yes,No,Yes
CUST00206,Male,65,Yes,Yes,1.9,Month-to-Month,Mailed Check,DSL,54.55,1273.41,Yes,Yes,No
CUST00207,Female,73,No,No,3.2,Month-to-Month,Bank Transfer,No,26.96,1077.97,No,Yes,No
CUST00208,Female,29,No,No,4.7,Two Year,Bank Transfer,DSL,58.74,3239.3,Yes,Yes,No
CUST00209,Female,68,Yes,No,4.2,Two Year,Credit Card,Fiber Optic,81.22,3839.01,No,Yes,No
CUST00210,Male,54,Yes,Yes,8.6,Two Year,Electronic Check,DSL,63.45,6474.16,Yes,Yes,Yes
CUST00211,Male,34,No,No,1.5,Month-to-Month,Electronic Check,DSL,56.9,1145.02,Yes,Yes,Yes
CUST00212,Male,40,No,Yes,0.7,Two Year,Mailed Check,Fiber Optic,93.13,742.78,Yes,No,No
CUST00213,Male,43,No,Yes,2.4,One Year,Bank Transfer,No,23.67,704.06,No,Yes,No
CUST00214,Male,46,No,Yes,0.4,Month-to-Month,Mailed Check,Fiber Optic,83.81,301.97,No,No,Yes
CUST00215,Male,50,Yes,No,1.0,One Year,Bank Transfer,DSL,39.82,560.73,Yes,No,No
CUST00216,Male,44,Yes,No,0.7,Month-to-Month,Mailed Check,Fiber Optic,95.7,783.61,Yes,No,Yes
CUST00217,Female,42,Yes,No,1.5,Month-to-Month,Mailed Check,DSL,73.35,1302.74,No,No,No
CUST00218,Male,73,Yes,No,0.4,Two Year,Mailed Check,DSL,52.69,392.84,No,No,Yes
CUST00219,Female,72,Yes,No,0.1,One Year,Credit Card,DSL,57.98,252.4,No,Yes,Yes
CUST00220,Male,27,Yes,No,3.2,Month-to-Month,Electronic Check,DSL,55.91,2297.43,No,No,Yes
CUST00221,Male,64,Yes,No,2.8,Month-to-Month,Bank Transfer,Fiber Optic,74.66,2459.73,No,Yes,No
CUST00222,Male,40,No,Yes,3.7,Two Year,Mailed Check,Fiber Optic,94.98,4104.11,No,No,No
CUST00223,Female,38,No,No,3.2,One Year,Electronic Check,DSL,52.8,1931.36,No,Yes,Yes
CUST00224,Female,38,No,No,0.4,Month-to-Month,Mailed Check,Fiber Optic,68.61,125.03,No,No,Yes
CUST00225,Female,60,No,No,1.0,Month-to-Month,Mailed Check,DSL,49.27,499.35,Yes,Yes,No
CUST00226,Female,30,Yes,No,0.4,Month-to-Month,Bank Transfer,No,18.84,58.47,Yes,Yes,No
CUST00227,Male,54,No,No,5.6,Two Year,Credit Card,Fiber Optic,85.98,5560.72,No,No,No
CUST00228,Female,50,Yes,Yes,4.1,Month-to-Month,Mailed Check,DSL,55.93,2582.03,No,No,No
CUST00229,Male,41,No,No,0.7,Month-to-Month,Bank Transfer,No,39.49,228.75,Yes,Yes,No
CUST00230,Male,61,Yes,No,1.3,Month-to-Month,Credit Card,DSL,69.64,1079.25,No,No,Yes
CUST00231,Female,28,No,No,10.2,Two Year,Credit Card,Fiber Optic,100.29,12364.08,No,Yes,No
CUST00232,Female,34,Yes,No,2.7,One Year,Electronic Check,DSL,46.8,1549.2,No,No,No
CUST00233,Female,21,Yes,No,4.8,One Year,Electronic Check,Fiber Optic,89.95,5087.51,Yes,No,No
CUST00234,Female,64,No,No,0.9,Month-to-Month,Mailed Check,Fiber Optic,91.37,923.11,No,Yes,Yes
CUST00235,Female,42,Yes,No,0.7,Month-to-Month,Electronic Check,DSL,50.81,464.15,Yes,Yes,Yes
CUST00236,Female,47,No,Yes,4.6,Two Year,Bank Transfer,DSL,57.3,3184.85,No,Yes,No
CUST00237,Female,26,No,No,3.5,Two Year,Bank Transfer,Fiber Optic,88.19,3803.26,Yes,Yes,No
CUST00238,Female,38,No,No,3.4,Two Year,Electronic Check,DSL,51.12,1987.27,No,No,No
CUST00239,Male,37,No,Yes,2.4,Two Year,Bank Transfer,DSL,65.26,2105.65,Yes,No,No
CUST00240,Female,36,No,No,2.5,Two Year,Bank Transfer,Fiber Optic,86.88,2716.15,Yes,No,No
CUST00241,Female,36,Yes,No,4.0,One Year,Mailed Check,No,28.63,1416.61,Yes,Yes,No
CUST00242,Male,29,No,No,0.9,Two Year,Mailed Check,DSL,45.21,392.35,Yes,Yes,Yes
CUST00243,Female,54,No,Yes,1.3,One Year,Bank Transfer,DSL,64.21,862.47,No,Yes,Yes
CUST00244,Male,59,No,No,6.2,Month-to-Month,Electronic Check,No,30.6,2233.95,Yes,No,No
CUST00245,Male,34,Yes,No,1.1,Month-to-Month,Bank Transfer,DSL,55.63,816.26,No,Yes,Yes
